PRODUKT_CODE;STATION_ID;ZEITSTEMPEL;WERT;QN;QB
R1_MN008;5906;201712071600;0;3;0
R1_MN008;5906;201712071700;0;3;0
R1_MN008;5906;201712071800;0;3;0
R1_MN008;5906;201712071900;0;3;0
R1_MN008;5906;201712072000;0;3;0
R1_MN008;5906;201712072100;0;3;0
R1_MN008;5906;201712072200;0.1;3;0
R1_MN008;5906;201712072300;0.5;3;0
R1_MN008;5906;201712080000;0;3;0
R1_MN008;5906;201712080100;0.2;3;0
R1_MN008;5906;201712080200;0;3;0
R1_MN008;5906;201712080300;0.1;3;0
R1_MN008;5906;201712080400;0.2;3;0
R1_MN008;5906;201712080500;0;3;0
R1_MN008;5906;201712080600;0;3;0
R1_MN008;5906;201712080700;0;3;0
R1_MN008;5906;201712080800;0;3;0
R1_MN008;5906;201712080900;0;3;0
R1_MN008;5906;201712081000;0;3;0
R1_MN008;5906;201712081100;0;3;0
R1_MN008;5906;201712081200;1.6;3;0
R1_MN008;5906;201712081300;1.2;3;0
R1_MN008;5906;201712081400;0;3;0
R1_MN008;5906;201712081500;0;3;0
R1_MN008;5906;201712081600;0;3;0
R1_MN008;5906;201712081700;0;3;0
R1_MN008;5906;201712081800;0;3;0
R1_MN008;5906;201712081900;0;3;0
R1_MN008;5906;201712082000;0;3;0
R1_MN008;5906;201712082100;0;3;0
R1_MN008;5906;201712082200;0;3;0
R1_MN008;5906;201712082300;0;3;0
R1_MN008;5906;201712090000;0;3;0
R1_MN008;5906;201712090100;0;3;0
R1_MN008;5906;201712090200;0;3;0
R1_MN008;5906;201712090300;0;3;0
R1_MN008;5906;201712090400;0;3;0
R1_MN008;5906;201712090500;0;3;0
R1_MN008;5906;201712090600;0;3;0
R1_MN008;5906;201712090700;0;3;0
R1_MN008;5906;201712090800;0;3;0
R1_MN008;5906;201712090900;0;3;0
R1_MN008;5906;201712091000;0;3;0
R1_MN008;5906;201712091100;0;3;0
R1_MN008;5906;201712091200;0;3;0
R1_MN008;5906;201712091300;0;3;0
R1_MN008;5906;201712091400;0;3;0
R1_MN008;5906;201712091500;0;3;0
R1_MN008;5906;201712091600;0.2;3;0
R1_MN008;5906;201712091700;0;3;0
R1_MN008;5906;201712091800;0;3;0
R1_MN008;5906;201712091900;0;3;0
R1_MN008;5906;201712092000;0;3;0
R1_MN008;5906;201712092100;0;3;0
R1_MN008;5906;201712092200;0;3;0
R1_MN008;5906;201712092300;0;3;0
R1_MN008;5906;201712100000;0;3;0
R1_MN008;5906;201712100100;0;3;0
R1_MN008;5906;201712100200;0;3;0
R1_MN008;5906;201712100300;0;3;0
R1_MN008;5906;201712100400;0;3;0
R1_MN008;5906;201712100500;0;3;0
R1_MN008;5906;201712100600;0;3;0
R1_MN008;5906;201712100700;0;3;0
R1_MN008;5906;201712100800;0;3;0
R1_MN008;5906;201712100900;0;3;0
R1_MN008;5906;201712101000;0;3;0
R1_MN008;5906;201712101100;0.1;3;0
R1_MN008;5906;201712101200;0.3;3;0
R1_MN008;5906;201712101300;0.4;3;0
R1_MN008;5906;201712101400;0.3;3;0
R1_MN008;5906;201712101500;0;3;0
R1_MN008;5906;201712101600;0;3;0
R1_MN008;5906;201712101700;0;3;0
R1_MN008;5906;201712101800;0;3;0
R1_MN008;5906;201712101900;0;3;0
R1_MN008;5906;201712102000;0;3;0
R1_MN008;5906;201712102100;0;3;0
R1_MN008;5906;201712102200;0;3;0
R1_MN008;5906;201712102300;0;3;0
R1_MN008;5906;201712110000;0;3;0
R1_MN008;5906;201712110100;0;3;0
R1_MN008;5906;201712110200;0;3;0
R1_MN008;5906;201712110300;0;3;0
R1_MN008;5906;201712110400;0;3;0
R1_MN008;5906;201712110500;0;3;0
R1_MN008;5906;201712110600;0;3;0
R1_MN008;5906;201712110700;1.1;3;0
R1_MN008;5906;201712110800;1.8;3;0
R1_MN008;5906;201712110900;2.3;3;0
R1_MN008;5906;201712111000;2.7;3;0
R1_MN008;5906;201712111100;2;3;0
R1_MN008;5906;201712111200;1.9;3;0
R1_MN008;5906;201712111300;0.7;3;0
R1_MN008;5906;201712111400;1;3;0
R1_MN008;5906;201712111500;0.5;3;0
R1_MN008;5906;201712111600;0;3;0
R1_MN008;5906;201712111700;0;3;0
R1_MN008;5906;201712111800;0;3;0
R1_MN008;5906;201712111900;0;3;0
R1_MN008;5906;201712112000;0;3;0
R1_MN008;5906;201712112100;0;3;0
R1_MN008;5906;201712112200;0;3;0
R1_MN008;5906;201712112300;0;3;0
R1_MN008;5906;201712120000;0;3;0
R1_MN008;5906;201712120100;0;3;0
R1_MN008;5906;201712120200;0;3;0
R1_MN008;5906;201712120300;0;3;0
R1_MN008;5906;201712120400;0;3;0
R1_MN008;5906;201712120500;0;3;0
R1_MN008;5906;201712120600;0;3;0
R1_MN008;5906;201712120700;0;3;0
R1_MN008;5906;201712120800;0;3;0
R1_MN008;5906;201712120900;0;3;0
R1_MN008;5906;201712121000;0;3;0
R1_MN008;5906;201712121100;0;3;0
R1_MN008;5906;201712121200;0;3;0
R1_MN008;5906;201712121300;0.1;3;0
R1_MN008;5906;201712121400;0;3;0
R1_MN008;5906;201712121500;0;3;0
R1_MN008;5906;201712121600;0;3;0
R1_MN008;5906;201712121700;0;3;0
R1_MN008;5906;201712121800;0;3;0
R1_MN008;5906;201712121900;0;3;0
R1_MN008;5906;201712122000;0;3;0
R1_MN008;5906;201712122100;0;3;0
R1_MN008;5906;201712122200;0;3;0
R1_MN008;5906;201712122300;0;3;0
R1_MN008;5906;201712130000;0;3;0
R1_MN008;5906;201712130100;0;3;0
R1_MN008;5906;201712130200;0;3;0
R1_MN008;5906;201712130300;0;3;0
R1_MN008;5906;201712130400;0;3;0
R1_MN008;5906;201712130500;0;3;0
R1_MN008;5906;201712130600;0;3;0
R1_MN008;5906;201712130700;0;3;0
R1_MN008;5906;201712130800;0;3;0
R1_MN008;5906;201712130900;0;3;0
R1_MN008;5906;201712131000;0;3;0
R1_MN008;5906;201712131100;0;3;0
